"Ticker","Year"
"HOLX","2017"
"HON","2021"
"HON","2017"
"HON","2019"
"HON","2018"
"HON","2015"
"HON","2022"
"HON","2020"
"HON","2016"
"HOT","2015"
"HP","2015"
"HP","2017"
"HP","2016"
"HP","2019"
"HP","2018"
"HPE","2021"
"HPE","2017"
"HPE","2022"
"HPE","2020"
"HPE","2019"
"HPE","2015"
"HPE","2018"
"HPE","2016"
"HPQ","2015"
"HPQ","2019"
"HPQ","2016"
"HPQ","2022"
"HPQ","2021"
"HPQ","2020"
"HPQ","2017"
"HPQ","2018"
"HRB","2017"
"HRB","2016"
"HRB","2019"
"HRB","2018"
"HRB","2015"
"HRL","2016"
"HRL","2015"
"HRL","2018"
"HRL","2021"
"HRL","2017"
"HRL","2020"
"HRL","2022"
"HRL","2019"
"HSIC","2022"
"HSIC","2016"
"HSIC","2018"
"HSIC","2020"
"HSIC","2021"
"HSIC","2017"
"HSIC","2015"
"HSIC","2019"
"HSY","2020"
"HSY","2022"
"HSY","2021"
"HSY","2017"
"HSY","2016"
"HSY","2018"
"HSY","2019"
"HSY","2015"
"HWM","2022"
"HWM","2020"
"HWM","2021"
"IBM","2022"
"IBM","2020"
"IBM","2017"
"IBM","2019"
"IBM","2016"
"IBM","2021"
"IBM","2018"
"IBM","2015"
"IDXX","2021"
"IDXX","2017"
"IDXX","2018"
"IDXX","2020"
"IDXX","2022"
"IDXX","2019"
"IEX","2019"
"IEX","2020"
"IEX","2021"
"IEX","2022"
"IFF","2019"
"IFF","2020"
"IFF","2021"
"IFF","2016"
"IFF","2017"
"IFF","2022"
"IFF","2018"
"IFF","2015"
"ILMN","2019"
"ILMN","2022"
"ILMN","2017"
"ILMN","2018"
"ILMN","2021"
"ILMN","2020"
"ILMN","2015"
"ILMN","2016"
"INCY","2020"
"INCY","2021"
"INCY","2018"
"INCY","2017"
"INCY","2022"
"INCY","2019"
"INFO","2017"
"INFO","2018"
"INFO","2020"
"INFO","2019"
"INFO","2021"
